Plant_Name,PrimSource,Total_MW,latitude,longitude
Valley Queen Cheese,petroleum,1.50000000000,45.22111100000,-96.63722200000
Helzel & Schwarzhoff 86,wind,2.40000000000,35.09250000000,-118.39520000000
ZCO,wind,1.60000000000,35.07720000000,-118.38110000000
Bavarian LFGTE,biomass,4.70000000000,38.86080000000,-84.65560000000
Green Valley LFGTE,biomass,2.40000000000,38.39673700000,-82.80881900000
Laurel Ridge LFGTE,biomass,4.00000000000,37.03500000000,-84.09330000000
Hardin County LFGTE,biomass,2.40000000000,37.72580000000,-85.72580000000
Hargis-Hebert Electric Generating,natural gas,94.00000000000,30.16940000000,-91.99230000000
Santa Maria EPG,other,5.30000000000,35.04083300000,-120.63666700000
Salem Water Plant,petroleum,2.00000000000,37.28750000000,-80.07710000000
Salem Street Dept,petroleum,2.00000000000,37.27940000000,-80.04470000000
Maple Ridge Wind Farm,wind,322.00000000000,43.78530000000,-75.57530000000
Horse Hollow Wind Energy Center,wind,735.50000000000,32.21402400000,-100.05712000000
Hamlet Generating Facility,natural gas,339.00000000000,34.84231100000,-79.73608700000
Caprock Wind Farm,wind,80.00000000000,34.98055600000,-103.35388900000
Bayway Refinery,other,11.20000000000,40.63755400000,-74.22121900000
Kumeyaay Wind,wind,50.00000000000,32.70555600000,-116.34250000000
Trimont Area Wind Farm,wind,100.50000000000,43.79380000000,-94.84990000000
Crescent Ridge,wind,53.00000000000,41.25000000000,-89.57080000000
Roseville Energy Park,natural gas,151.00000000000,38.79280000000,-121.38110000000
Wind Park Bear Creek,wind,24.00000000000,41.23527800000,-75.75305600000
Jersey-Atlantic Wind Farm,wind,7.50000000000,39.38222200000,-74.44750000000
Wolverine Creek,wind,64.50000000000,43.41950000000,-111.82940000000
Oasis Wind,wind,60.00000000000,35.06094000000,-118.29240600000
Elk River Wind,wind,150.00000000000,37.57970000000,-96.55030000000
San Juan Mesa Wind Project LLC,wind,120.00000000000,33.97160000000,-103.86040000000
Adams Wind Farm,wind,24.00000000000,43.55477800000,-92.72413900000
Fossil Gulch,wind,10.50000000000,42.85805600000,-114.94944400000
Trigen St. Louis,natural gas,31.80000000000,38.63590000000,-90.18090000000
Sweetwater Wind 3 LLC,wind,135.00000000000,32.29083300000,-100.42190000000
Shute Creek Facility,other,106.80000000000,41.88050000000,-110.09040000000
Coleman Falls,hydroelectric,1.50000000000,37.50350000000,-79.30060000000
Holcomb Rock,hydroelectric,0.60000000000,37.50350000000,-79.30060000000
Raft River Geothermal Power Plant,geothermal,10.00000000000,42.09941700000,-113.38245000000
Wygen 2,coal,90.00000000000,44.29190000000,-105.38110000000
Spring Canyon,wind,60.00000000000,40.98300000000,-102.96470000000
Richard Burdette Geothermal,geothermal,15.60000000000,39.39084300000,-119.75459300000
Wild Horse,wind,273.10000000000,47.03626900000,-120.20649400000
Modern Innovative Energy LLC,biomass,6.40000000000,43.20940000000,-78.98360000000
Colonie LFGTE Facility,biomass,6.40000000000,42.80332500000,-73.72674100000
Delta Power,petroleum,23.10000000000,64.02805600000,-145.71944400000
Mustang Station Unit 4,natural gas,458.30000000000,32.97455400000,-102.74360700000
Pendleton County LFGTE,biomass,3.20000000000,38.73421800000,-84.40590100000
Harry D Mattison Gas Plant,natural gas,294.00000000000,36.18550000000,-94.28410000000
Campbell Industrial Park,biomass,113.00000000000,21.30250000000,-158.10166700000
Gauley River Power Partners,hydroelectric,80.00000000000,38.21921000000,-80.89061000000
Blue Canyon Windpower II,wind,151.00000000000,34.86610000000,-98.60560000000
Aragonne Wind LLC,wind,90.00000000000,34.81470000000,-105.01080000000
Sweetwater Wind 4 LLC,wind,241.00000000000,32.31220000000,-100.53030000000
High Trail Wind Farm LLC,wind,198.00000000000,40.47920000000,-88.79890000000
Albemarle Hospital Unit,petroleum,1.80000000000,35.36360000000,-80.19390000000
Cherryville City Hall,petroleum,1.80000000000,35.37780000000,-81.38000000000
Lincolnton High School,petroleum,1.80000000000,35.47741500000,-81.26225900000
Maiden Community Center,petroleum,1.80000000000,35.57720000000,-81.20810000000
Monroe Middle School,petroleum,1.80000000000,34.97327400000,-80.54003800000
Morganton Station 5,petroleum,1.80000000000,35.72900000000,-81.74807500000
Pineville Delivery 1,petroleum,1.80000000000,35.08477500000,-80.89341400000
Bear Valley Power Plant,natural gas,8.40000000000,34.25060000000,-116.90250000000
Cedar Ridge,wind,67.70000000000,43.69264700000,-88.32974200000
