Id,Id2,Geography,total_pop,english,spanish_spanish_creole,french,french_creole,italian,portuguese,german,yiddish,other_west_german,scandinavian_langs,greek,russian,polish,serbo_croation,other_slavic,armenian,persian,gujarati,hindi,urdu,other_hindic,other_indo_european,chinese,japanese,korean,mon_khmer_cambodian,hmong,thai,laotian,vietnamese,other_asian,tagalog,other_pacific_island,navajo,other_native_na,hungarian,arabic,hebrew,african_lang,others_unspec,ldi
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",4065,1337,2060,272,0,0,0,30,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,29,0,0,0,0,0,0,0,0,8,0,308,0,0.6246694171738766
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",2875,837,1863,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,88,0,0.49398635916824196
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",3622,1452,1871,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,200,0,0.5691250871644266
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",1122,636,355,0,0,41,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,18,0,0.575439834011712
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",1336,255,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3267921492344651
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",3925,2234,939,0,0,252,0,0,0,0,0,60,48,48,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,11,0,57,0,0,0.6114630208122034
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",3693,1462,1928,131,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0.5680987346689448
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",1851,1146,435,0,0,67,0,5,0,10,0,47,0,0,0,0,0,0,0,0,0,0,130,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.5545138770317328
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",806,543,171,5,6,60,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0.49522193967083117
